tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
38,301,20,12,0.2503,0.0198,156.0902,124.8949,464.2467,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0070,3.9998,0.0276,70.0221,0.3698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.8512,0.0000,0.0000
39,301,20,12,0.2538,0.0198,156.0320,124.8173,473.2027,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0070,3.9998,0.0276,70.0221,0.3698,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,82.8203,0.0000,0.0000
40,302,20,12,0.2578,0.0198,154.0862,124.7374,480.8066,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0070,3.9999,0.0276,70.0271,0.3792,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.7875,0.0000,0.0000
41,303,20,12,0.2617,0.0198,154.0238,124.6542,492.6766,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0073,4.0001,0.0277,70.0268,0.3786,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.7544,0.0000,0.0000
42,304,20,12,0.2655,0.0198,153.9692,124.5815,503.0442,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0075,3.9998,0.0282,70.0183,0.4054,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.7254,0.0000,0.0000
43,305,20,12,0.2693,0.0198,153.9200,124.5159,512.3978,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0075,4.0003,0.0293,70.0201,0.4060,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.6993,0.0000,0.0000
44,305,20,12,0.2726,0.0198,153.8714,124.4510,521.6521,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0075,4.0003,0.0293,70.0201,0.4060,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.6735,0.0000,0.0000
45,307,20,12,0.2758,0.0198,153.8241,124.3880,530.5893,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0076,3.9994,0.0313,70.0107,0.4380,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.6484,0.0000,0.0000
46,306,20,12,0.2791,0.0198,153.7689,124.3144,556.1219,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9998,0.0076,3.9994,0.0313,70.0107,0.4387,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.6191,0.0000,0.0000
47,307,20,12,0.2824,0.0198,153.7201,124.2494,565.4078,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0077,3.9998,0.0320,70.0132,0.4403,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.5932,0.0000,0.0000
48,306,20,12,0.2857,0.0198,153.6658,124.1769,590.5942,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9997,0.0077,3.9998,0.0320,70.0133,0.4410,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,81.5643,0.0000,0.0000
49,306,20,12,0.2890,0.0198,161.1120,124.1035,600.9562,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0077,3.9998,0.0320,70.0133,0.4410,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,4.2840,0.4230,0.0000,85.6089,0.0000,0.2102
50,310,20,12,0.2928,0.0198,163.3871,124.0233,609.4200,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0083,4.0002,0.0347,69.9905,0.5185,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,2.6002,0.2615,0.0000,86.7243,0.1737,0.1276
51,310,20,12,0.2964,0.0198,163.3280,123.9446,622.7864,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9997,0.0083,4.0002,0.0347,69.9905,0.5185,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.6930,0.0000,0.0000
52,312,20,12,0.3000,0.0197,163.2764,123.8758,634.4891,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,3.9999,0.0348,70.0076,0.5593,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.6656,0.0000,0.0000
53,312,20,12,0.3036,0.0197,163.2298,123.8136,645.0129,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,3.9999,0.0348,70.0076,0.5593,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.6408,0.0000,0.0000
54,312,20,12,0.3067,0.0197,163.1838,123.7522,655.4381,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,3.9999,0.0348,70.0076,0.5593,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.6164,0.0000,0.0000
55,312,20,12,0.3098,0.0197,163.1390,123.6926,665.5353,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,3.9999,0.0348,70.0076,0.5593,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.5926,0.0000,0.0000
