tree.crowding_mortality,disease.grazer_rate,seed,no_extinction_pass,no_extinction_value,no_extinction_margin,max_10x_pass,max_10x_value,max_10x_margin,grazer_cycle_pass,grazer_cycle_value,grazer_cycle_margin,fertility_band_pass,fertility_band_value,fertility_band_margin,grass_band_pass,grass_band_value,grass_band_margin,tree_growth_pass,tree_growth_value,tree_growth_margin,mature_trees_10k_pass,mature_trees_10k_value,mature_trees_10k_margin,animals_10k_pass,animals_10k_value,animals_10k_margin,first_extinction_tick,first_extinction_species,first_extinction_dominant_cause,grazer_peaks,hunter_extinction_tick,hunter_immigrants
0.04,0.006,1,true,21,20.000000,true,560,0.839080,true,16990,10.326667,true,217.7384033203125,0.010280,true,0.8860999941825867,0.067263,true,369,19.500000,true,107,2.057143,true,28,13.000000,,,,13,,0
0.04,0.006,2,true,27,26.000000,true,54,0.841176,true,17026,10.350667,false,224.15969848632813,-0.018908,true,0.883899986743927,0.069579,true,400,21.222222,true,94,1.685714,true,37,17.500000,,,,11,,0
0.04,0.006,3,false,0,-1.000000,true,71,0.784848,true,1612,0.074667,false,229.58140563964844,-0.043552,true,0.8828999996185303,0.070632,true,346,18.222222,true,113,2.228571,false,0,-1.000000,8654,grazers,eaten,2,9588,0
0.04,0.008,1,true,18,17.000000,true,571,0.815806,true,17589,10.726000,false,222.98049926757813,-0.013548,true,0.8835999965667725,0.069895,true,338,17.777778,true,83,1.371429,true,40,19.000000,,,,13,,0
0.04,0.008,2,true,24,23.000000,true,53,0.834375,true,16147,9.764667,false,222.9929962158203,-0.013605,true,0.8837000131607056,0.069789,true,366,19.333333,true,118,2.371429,true,26,12.000000,,,,11,,0
0.04,0.008,3,true,33,32.000000,true,58,0.824242,true,16197,9.798000,false,221.69419860839844,-0.007701,true,0.8842999935150146,0.069158,true,361,19.055556,true,78,1.228571,true,41,19.500000,,,,9,,0
0.04,0.010,1,true,19,18.000000,true,57,0.832353,true,16986,10.324000,false,227.735595703125,-0.035162,true,0.8838000297546387,0.069684,true,387,20.500000,true,107,2.057143,true,24,11.000000,,,,10,,0
0.04,0.010,2,true,27,26.000000,true,541,0.851374,true,15528,9.352000,false,223.8647003173828,-0.017567,true,0.8855999708175659,0.067790,true,332,17.444444,true,75,1.142857,true,33,15.500000,,,,12,,0
0.04,0.010,3,true,30,29.000000,true,63,0.809091,true,16595,10.063333,true,219.9770965576172,0.000104,true,0.8860999941825867,0.067263,true,315,16.500000,true,81,1.314286,true,38,18.000000,,,,12,,0
0.05,0.000,1,true,21,20.000000,true,53,0.829032,true,15950,9.633333,true,197.82009887695313,0.100818,true,0.8730999827384949,0.080947,true,365,19.277778,true,102,1.914286,true,28,13.000000,,,,9,,0
0.05,0.000,2,true,22,21.000000,true,2501,0.848516,true,16819,10.212667,true,199.11880493164063,0.094915,true,0.8676000237464905,0.086737,true,365,19.277778,true,118,2.371429,true,28,13.000000,,,,9,,0
0.05,0.000,3,true,33,32.000000,true,68,0.793939,true,16056,9.704000,true,205.65420532226563,0.065208,true,0.8694999814033508,0.084737,true,377,19.944444,true,98,1.800000,true,50,24.000000,,,,9,,0
0.05,0.002,1,true,25,24.000000,true,57,0.821875,true,17482,10.654667,true,217.9980010986328,0.009100,true,0.8831999897956848,0.070316,true,359,18.944444,true,120,2.428571,true,33,15.500000,,,,13,,0
0.05,0.002,2,true,31,30.000000,true,59,0.826471,true,17182,10.454667,true,218.3760986328125,0.007381,true,0.8828999996185303,0.070632,true,348,18.333333,true,96,1.742857,true,34,16.000000,,,,13,,0
0.05,0.002,3,true,31,30.000000,true,69,0.777419,true,13929,8.286000,true,214.1551971435547,0.026567,true,0.882099986076355,0.071474,true,361,19.055556,true,93,1.657143,true,46,22.000000,,,,9,,0
0.05,0.004,1,true,19,18.000000,true,48,0.840000,true,17552,10.701333,true,219.19290161132813,0.003669,true,0.8820000290870667,0.071579,true,383,20.277778,true,112,2.200000,true,28,13.000000,,,,13,,0
0.05,0.004,2,true,25,24.000000,true,535,0.846264,true,14176,8.450667,false,222.66879272460938,-0.012131,true,0.8838000297546387,0.069684,true,348,18.333333,true,103,1.942857,true,28,13.000000,,,,10,,0
0.05,0.004,3,true,32,31.000000,true,66,0.793750,true,11557,6.704667,false,227.21449279785156,-0.032793,true,0.8830000162124634,0.070526,true,277,14.388889,true,100,1.857143,true,213,20.300000,,,,8,,0
0.05,0.006,1,true,20,19.000000,true,555,0.834821,true,16260,9.840000,false,221.91380310058594,-0.008699,true,0.8860999941825867,0.067263,true,377,19.944444,true,119,2.400000,true,30,14.000000,,,,11,,0
0.05,0.006,2,true,25,24.000000,true,52,0.847059,true,16204,9.802667,false,222.86740112304688,-0.013034,true,0.883899986743927,0.069579,true,405,21.500000,true,72,1.057143,true,34,16.000000,,,,12,,0
0.05,0.006,3,false,0,-1.000000,true,61,0.815152,true,5599,2.732667,false,225.87399291992188,-0.026700,true,0.8828999996185303,0.070632,true,365,19.277778,true,114,2.257143,true,110,10.000000,13290,grazers,eaten,3,14375,0
0.05,0.008,1,true,22,21.000000,true,570,0.812500,true,17575,10.716667,false,221.47830200195313,-0.006720,true,0.8835999965667725,0.069895,true,361,19.055556,true,131,2.742857,true,32,15.000000,,,,15,,0
0.05,0.008,2,true,23,22.000000,true,54,0.831250,true,16037,9.691333,false,224.04930114746094,-0.018406,true,0.8837000131607056,0.069789,true,373,19.722222,true,123,2.514286,true,30,14.000000,,,,11,,0
0.05,0.008,3,true,31,30.000000,true,60,0.818182,true,16189,9.792667,false,224.14280700683594,-0.018831,true,0.8842999935150146,0.069158,true,317,16.611111,true,92,1.628571,true,36,17.000000,,,,11,,0
0.05,0.010,1,true,24,23.000000,true,550,0.838235,true,16539,10.026000,false,224.947998046875,-0.022491,true,0.8838000297546387,0.069684,true,370,19.555556,true,141,3.028571,true,31,14.500000,,,,14,,0
0.05,0.010,2,true,26,25.000000,true,531,0.856098,true,15827,9.551333,false,224.14950561523438,-0.018861,true,0.8855999708175659,0.067790,true,363,19.166667,true,99,1.828571,true,27,12.500000,,,,14,,0
0.05,0.010,3,true,33,32.000000,true,61,0.815152,true,17695,10.796667,false,222.90809631347656,-0.013219,true,0.8860999941825867,0.067263,true,404,21.444444,true,125,2.571429,true,44,21.000000,,,,13,,0
