tick,kind,species,patch_x,patch_y,x,y,cause,detail
937,birth,grazer,7,25,63,202,,2654
937,birth,grazer,4,14,35,114,,2655
938,birth,grazer,27,20,222,161,,2656
938,birth,grazer,26,20,215,167,,2657
938,birth,grazer,28,17,226,141,,2658
938,birth,grazer,28,20,227,166,,2659
938,birth,grazer,11,2,95,17,,2660
938,birth,grazer,11,9,95,79,,2661
938,birth,grazer,3,15,31,120,,2662
938,birth,grazer,29,18,237,147,,2663
938,birth,grazer,26,23,212,185,,2664
938,birth,grazer,29,21,237,175,,2665
938,birth,grazer,25,16,207,133,,2666
939,birth,grazer,11,19,95,159,,2667
939,birth,grazer,11,20,95,164,,2668
940,birth,grazer,22,26,176,213,,2669
940,birth,grazer,21,26,173,214,,2670
940,birth,grazer,11,11,92,93,,2671
940,birth,grazer,24,13,197,109,,2672
940,birth,grazer,20,25,161,200,,2673
940,birth,grazer,11,2,95,17,,2674
940,birth,grazer,9,13,78,104,,2675
940,birth,grazer,20,26,167,209,,2676
940,birth,grazer,18,25,149,202,,2677
940,birth,grazer,20,28,162,225,,2678
941,birth,grazer,25,4,207,39,,2679
941,birth,grazer,6,8,55,69,,2680
941,birth,grazer,3,13,30,111,,2681
941,birth,grazer,3,8,25,65,,2682
941,birth,grazer,23,2,191,21,,2683
941,birth,grazer,23,6,189,54,,2684
942,birth,grazer,23,4,188,36,,2685
942,birth,grazer,12,9,103,79,,2686
942,birth,grazer,7,7,61,56,,2687
942,birth,grazer,19,4,152,36,,2688
942,birth,grazer,14,9,113,77,,2689
942,birth,grazer,25,5,205,40,,2690
942,death,grazer,7,6,60,52,eaten,780
943,birth,grazer,28,15,230,123,,2691
943,birth,grazer,3,6,29,55,,2692
943,birth,grazer,24,17,198,140,,2693
943,birth,grazer,7,11,61,88,,2694
943,birth,grazer,5,22,46,177,,2695
943,birth,grazer,6,19,55,157,,2696
943,birth,grazer,23,13,184,104,,2697
943,birth,grazer,2,7,23,61,,2698
943,birth,grazer,28,19,230,156,,2699
943,birth,grazer,7,9,58,74,,2700
943,birth,grazer,31,20,250,165,,2701
943,birth,grazer,8,24,69,198,,2702
943,birth,grazer,26,15,211,127,,2703
943,birth,grazer,10,21,86,174,,2704
943,storm,,0,0,,,,0.3076 0.0878 0.0020
944,birth,grazer,0,1,0,13,,2705
944,birth,grazer,3,14,30,114,,2706
944,birth,grazer,0,1,0,11,,2707
944,birth,grazer,2,0,20,0,,2708
944,birth,grazer,3,0,28,0,,2709
944,birth,grazer,16,27,131,222,,2710
944,birth,grazer,9,23,78,184,,2711
944,birth,grazer,23,15,185,127,,2712
944,birth,grazer,0,2,0,19,,2713
944,birth,grazer,0,0,0,6,,2714
944,birth,grazer,0,0,0,0,,2715
944,birth,grazer,2,0,19,0,,2716
945,birth,grazer,8,26,71,214,,2717
945,birth,grazer,8,6,68,53,,2718
945,birth,grazer,7,19,59,158,,2719
945,birth,grazer,7,2,58,22,,2720
945,birth,grazer,17,26,136,212,,2721
945,birth,grazer,13,5,108,41,,2722
945,birth,grazer,13,25,104,204,,2723
945,birth,grazer,9,4,74,35,,2724
945,birth,grazer,8,3,67,24,,2725
945,birth,grazer,13,23,104,190,,2726
945,birth,grazer,10,6,83,51,,2727
946,birth,grazer,6,11,49,88,,2728
946,birth,grazer,23,4,190,39,,2729
946,birth,grazer,6,27,54,216,,2730
946,birth,grazer,10,11,81,92,,2731
946,birth,grazer,6,13,50,108,,2732
947,birth,grazer,7,21,63,171,,2733
947,birth,grazer,7,8,62,70,,2734
947,birth,grazer,12,25,102,205,,2735
947,birth,grazer,5,3,40,29,,2736
948,birth,grazer,21,5,171,47,,2737
948,birth,grazer,10,6,82,52,,2738
949,birth,grazer,7,13,63,106,,2739
949,birth,grazer,6,7,55,63,,2740
949,birth,grazer,8,7,66,61,,2741
949,birth,grazer,8,28,69,229,,2742
949,birth,grazer,16,25,128,201,,2743
949,birth,grazer,7,13,58,107,,2744
949,birth,grazer,7,3,63,31,,2745
949,birth,grazer,6,26,48,212,,2746
949,birth,grazer,11,6,89,52,,2747
949,birth,grazer,10,19,81,152,,2748
949,birth,grazer,6,28,54,225,,2749
949,birth,grazer,12,4,100,39,,2750
949,birth,grazer,3,28,28,224,,2751
949,birth,grazer,6,10,49,81,,2752
949,birth,grazer,5,28,43,226,,2753
949,birth,grazer,2,10,20,86,,2754
949,birth,grazer,7,7,56,60,,2755
949,birth,grazer,6,27,52,218,,2756
949,birth,grazer,9,8,76,71,,2757
950,birth,grazer,6,20,55,166,,2758
950,birth,grazer,9,6,72,51,,2759
950,birth,grazer,3,25,29,203,,2760
950,death,grazer,4,4,38,35,crowded,593
950,birth,grazer,3,13,29,111,,2761
950,death,grazer,4,4,38,35,crowded,2376
950,germination,tree,15,4,127,36,,2762
950,germination,tree,3,6,28,48,,2763
950,germination,tree,23,8,184,67,,2764
950,germination,tree,29,8,235,70,,2765
950,germination,tree,17,28,142,228,,2766
950,germination,tree,15,27,122,222,,2767
950,germination,tree,10,27,86,222,,2768
951,birth,grazer,3,25,29,202,,2769
952,birth,grazer,13,28,111,224,,2770
952,birth,grazer,3,15,30,122,,2771
952,birth,grazer,6,3,52,29,,2772
952,birth,grazer,15,25,127,207,,2773
952,birth,grazer,14,23,112,191,,2774
952,birth,grazer,8,25,70,204,,2775
953,birth,grazer,30,17,242,138,,2776
953,birth,grazer,15,26,127,212,,2777
953,birth,grazer,11,4,91,39,,2778
953,birth,grazer,27,16,220,129,,2779
953,birth,grazer,29,19,237,154,,2780
954,death,grazer,11,15,90,126,eaten,132
954,death,grazer,16,4,133,35,eaten,133
955,birth,grazer,8,19,68,152,,2781
955,birth,grazer,27,18,222,145,,2782
955,birth,grazer,28,16,225,135,,2783
955,birth,grazer,9,18,78,144,,2784
955,birth,grazer,24,15,194,127,,2785
955,birth,grazer,22,15,182,124,,2786
955,birth,grazer,7,6,63,49,,2787
955,birth,grazer,12,23,99,189,,2788
955,birth,grazer,14,26,119,212,,2789
955,birth,grazer,22,17,183,143,,2790
955,birth,grazer,26,21,209,170,,2791
955,birth,grazer,26,18,208,146,,2792
956,birth,grazer,5,25,42,200,,2793
956,birth,grazer,24,21,197,168,,2794
956,birth,grazer,3,18,29,145,,2795
956,birth,grazer,7,28,57,224,,2796
956,birth,grazer,2,21,21,169,,2797
956,birth,grazer,3,24,31,195,,2798
957,birth,grazer,21,17,170,140,,2799
957,birth,grazer,9,25,75,202,,2800
957,birth,grazer,20,27,164,220,,2801
957,birth,grazer,6,17,54,141,,2802
957,birth,grazer,20,17,166,141,,2803
957,birth,grazer,17,27,140,223,,2804
958,birth,grazer,14,10,112,87,,2805
958,birth,grazer,28,3,229,24,,2806
958,birth,grazer,3,26,31,212,,2807
958,birth,grazer,14,8,114,71,,2808
958,birth,grazer,26,2,214,20,,2809
958,birth,grazer,12,14,96,117,,2810
958,birth,grazer,29,2,238,23,,2811
958,birth,grazer,2,8,22,64,,2812
958,birth,grazer,15,27,127,216,,2813
958,birth,grazer,29,2,232,21,,2814
958,birth,grazer,3,27,31,219,,2815
958,birth,grazer,24,4,197,32,,2816
958,birth,grazer,10,9,80,72,,2817
958,birth,grazer,27,3,221,25,,2818
959,birth,grazer,0,17,0,141,,2819
959,birth,grazer,17,25,137,202,,2820
959,birth,grazer,15,0,125,0,,2821
959,birth,grazer,10,3,83,24,,2822
959,birth,grazer,0,20,0,160,,2823
959,birth,grazer,18,0,144,0,,2824
959,birth,grazer,12,9,97,74,,2825
959,birth,grazer,0,18,0,144,,2826
959,birth,grazer,13,0,109,2,,2827
959,birth,grazer,0,22,0,177,,2828
959,birth,grazer,14,0,116,2,,2829
959,birth,grazer,11,9,93,79,,2830
959,birth,grazer,11,26,89,210,,2831
959,birth,grazer,0,18,0,144,,2832
959,birth,grazer,18,17,148,142,,2833
959,birth,grazer,16,0,132,0,,2834
959,birth,grazer,9,5,74,43,,2835
959,birth,grazer,0,21,0,173,,2836
959,birth,grazer,13,0,108,2,,2837
959,birth,grazer,0,17,0,141,,2838
959,birth,grazer,14,0,113,1,,2839
959,birth,grazer,1,28,8,224,,2840
959,birth,grazer,11,0,94,2,,2841
960,birth,grazer,22,12,183,101,,2842
960,birth,grazer,3,7,28,62,,2843
960,birth,grazer,19,23,154,190,,2844
960,birth,grazer,12,7,99,60,,2845
960,birth,grazer,26,17,208,136,,2846
960,birth,grazer,7,23,56,191,,2847
960,birth,grazer,18,24,151,192,,2848
961,birth,grazer,24,15,198,127,,2849
961,birth,grazer,5,13,43,111,,2850
961,birth,grazer,13,8,111,71,,2851
962,birth,grazer,12,8,98,65,,2852
962,birth,grazer,12,24,102,193,,2853
962,birth,grazer,23,19,189,155,,2854
962,birth,grazer,7,17,60,143,,2855
963,birth,grazer,19,19,156,156,,2856
963,birth,grazer,5,4,44,35,,2857
